SurgeryType,Category,Question,Alternate_Questions,Answer
microdiscectomy,Pre-Op Meds,What pain medications should I stop before my microdiscectomy?,Can I take Aleve for a headache before my surgery?; Which over-the-counter pain meds are not allowed,"You must stop all NSAIDs (Non-Steroidal Anti-Inflammatory Drugs) at least 7 days before your surgery. This includes Ibuprofen (Advil, Motrin), Naproxen (Aleve), Meloxicam, and Diclofenac. Tylenol (Acetaminophen) is generally safe to continue."
microdiscectomy,Pre-Op Meds,What about my blood thinners like Aspirin or Plavix?,Do I have to stop my daily low-dose aspirin?; What is the plan for my prescription blood thinner?,"It is essential that you discuss stopping any blood thinner (Aspirin, Plavix, Xarelto, Eliquis, Coumadin) with the prescribing doctor (e.g., your cardiologist). We will provide specific instructions based on their recommendations, but our standard protocol requires stopping them 5-7 days before surgery."
microdiscectomy,Pre-Op Meds,What about medications like Neurontin or Lyrica (gabapentin or pregabalin)?,Should I change the dose of my nerve medicine?; Is it safe to continue taking gabapentin?; Should I stop taking gabapentin?,"These are nerve medications and help to calm down irritated or excited nerves. If you are currently on one of these medications, you should not stop taking the med before surgery. Continue to take the medications through surgery until you are told to stop it by the surgeon. If you stop it too early, it can cause a rebound hypersensitivity."
microdiscectomy,Diet & Lifestyle,Do I need to stop eating or drinking before surgery?,What does it mean to be 'NPO'?; Can I have a mint or chew gum on the morning of surgery?,"Yes. Do not eat or drink anything after midnight the night before your surgery. This includes water, coffee, and chewing gum. You may take approved morning medications with a small sip of water."
microdiscectomy,Day of Surgery,What should I wear to the hospital?,What are the best clothes to wear home from the hospital?; Are there any clothing recommendations for surgery day?,"Please wear loose, comfortable clothing that is easy to put on and take off, such as sweatpants and a zip-up or button-up shirt. Avoid anything that you have to pull tightly over your head."
microdiscectomy,Post-Op Activity,How much can I walk after my microdiscectomy?,What are my activity restrictions after the operation?; When can I start exercising again?,"Walking is your most important recovery activity. We want you up and walking the day of your surgery. Start with short, frequent walks around your house and gradually increase the distance each day as you feel comfortable."
microdiscectomy,Post-Op Activity,Are there any movements I should avoid after surgery?,What does 'BLT restrictions' mean?; Can I bend over to tie my shoes? ,"Yes. For the first 4-6 weeks, you must avoid the ""BLTs"": Bending at the waist, Lifting more than 10 pounds (a gallon of milk), and Twisting your torso. The surgeon calls this his ""Spine Diet"" - you can eat a BLT but don't do a BLT!"
microdiscectomy,Warning Signs,What symptoms should I watch for that require an urgent call?,,"Please call our office immediately if you experience any of the following: fever over 101.5°F, new or worsening weakness in your legs or feet, loss of bowel or bladder control, or clear drainage from your incision that soaks the dressing."
microdiscectomy,About the Procedure,What is a microlumbar discectomy (MLD)?,What is this?; What am i having done?,"A microlumbar discectomy, or MLD, is a minimally invasive surgery we perform to relieve pressure on the nerves in your lower back. ""Micro"" means small, ""lumbar"" refers to your lower back, and ""discectomy"" means to remove the part of the spinal disc that is causing the problem. We make a very small incision and gently separate the back muscles instead of cutting them, which helps you heal faster with less scarring. We approach the spine by placing a small tube between the muscle fibers - nothing is cut out. We use a microscope to look through this tube and into the spinal canal."
microdiscectomy,About the Procedure,Will I be asleep for the surgery? ,,"Yes, you will be completely asleep for the surgery. You will have what we call a general anesthesia. This is when the anesthesiologist gives you IV medication to make you fall alseep. You will have a small tube in your mouth to protect your airway and help you breathe while laying facedown during the surgery. Patients often do not remember anything about the surgery because of the medications that make you sleep."
microdiscectomy,About the Procedure,How do you get to spine?,,You will be face down on a special bed during the surgery. We have special memory foam pads to keep you comfortable in this position. We can then see you back and get to the spine through an incision that is often just the width of a thumb.
microdiscectomy,About the Procedure,Why do I need this surgery?,,"You're having this surgery because a spinal disc in your lower back has bulged or ruptured, and it's pressing on a nerve. This pressure is what causes the pain, numbness, or weakness you've been feeling in your leg, often called 'sciatica'. We've tried other treatments like medication and physical therapy without enough success, so this surgery is the next step to remove that pressure and relieve your symptoms."
microdiscectomy,About the Procedure,Do you put anything back into the disc or refill it?,,"Unfortunately, once you have lost disc material there is currently no way to gain it back. Placing substances back into the disc to refill it could potentially lead to complications or a recurrent herniation."
microdiscectomy,About the Procedure,Do you do anything to close the hole in the disc?,,Usually no. Multiple studies have been done evaluting this concept and found that the rate of recurrent herniation does not change. If anything these efforts to close the hole in the disc just lead to more scar tissue and higher rates of nerve injury or dural tears.
microdiscectomy,About the Procedure,What is a dural tear or durotomy?,,"A durotomy or dural tear is when a small tear occurs in the lining of the nerve roots. This sac contains the spinal fluid. If there is a tear the spinal fluid can leak out. This can lead to headaches, photophobia (troubles being in bright light) or cause a persistent leakage of fluid through the incision which could lead to infection. The rate of this adverse event is very low. Call the surgeon immediately if you notice any of these symptoms. If you have a dural tear it is often treated with bedrest for a short time. It does not effect the success of the surgery in regards to improving the nerve symptoms."
microdiscectomy,About the Procedure,Do you cut or remove any bone during this surgery?,,Not really. We sometimes shave a small area of bone in the interlaminar window (the hole in your spine that we access the nerves through) but this is often not required. Care is taken to avoid disrupting the bony stability of the spine.
microdiscectomy,About the Procedure,How successful is this surgery?,,"This procedure is very effective, especially for relieving leg pain. It is about 95% successful in taking away the leg pain caused by a herniated disc."
microdiscectomy,About the Procedure,What are the risks of this surgery?,,"While this is a very safe procedure, every surgery has risks. The most common ones include a 5 to 10 percent chance that the disc could herniate again, a small risk of infection (about 1%), and an even smaller risk of a spinal fluid leak (about 3%). Serious nerve injury is very rare, happening in less than 1 out of every 1,000 surgeries. We will do everything we can to minimize these risks."
microdiscectomy,The Surgery,What happens during the surgery?,,"You will be under general anesthesia, so you'll be asleep and comfortable. We will have you lying face down. Using an X-ray for guidance, I'll make a small incision in your back, about an inch long, directly over the problem area. Instead of cutting your back muscles, we use special tools to gently separate them. Through a small tube, and with the help of a microscope, I will remove the piece of the disc that is pressing on your nerve. Sometimes, I might remove a tiny bit of bone to get to the disc. Once the pressure is off the nerve, I'll remove the tube, your muscles will come back together, and I'll close the incision. The whole surgery usually takes about an hour."
microdiscectomy,The Surgery,Will I need a blood transfusion?,,"It is very unusual for a patient to need blood during this type of surgery. The blood loss is typically very minimal, usually less than half a cup and often less than a tablespoon"
microdiscectomy,Before Surgery,What is a disc herniation?,,A disc herniation is when a piece of the disc (the soft tissue shock absorber between the bone blocks) squirts out and causes compression on a nerve root. This is what causes your leg pain or other symptoms. Think of the disc like a jelly donut in terms of its composition. It has a tougher fibrous outer layer and a softer jelly like core.
microdiscectomy,Before Surgery,How do I prepare for surgery?,,"Before your surgery, you'll have a medical check-up to make sure you're ready. It's important to stop taking certain medications and supplements that can thin your blood, like aspirin, anti-inflammatories (Ibuprofen, Aleve), and some herbal supplements, usually one to two weeks before your surgery. We will give you specific instructions on which ones to stop and when. Also, if you smoke, stopping now will significantly improve your healing and your chances of a successful outcome. On the day before surgery, we recommend eating light meals and not eating or drinking anything after midnight."
microdiscectomy,Before Surgery,Do I really need to stop smoking?,,"Yes, it's very important. Smoking slows down your body's ability to heal and increases your risk for infection. Quitting, even for a short time before surgery, makes a big difference and helps ensure you have the best possible result."
microdiscectomy,After Surgery,How long will I be in the hospital?,,"This is an outpatient procedure, which means most patients go home on the same day as their surgery. We'll monitor you for a few hours after you wake up, and as long as your pain is controlled and you're medically stable, you can recover in the comfort of your own home."
microdiscectomy,After Surgery,What kind of pain will I have after surgery?,,"You will likely feel immediate relief from the leg pain you had before. However, it's normal to have some new pain at the incision site for a few days or weeks. Your back muscles might also be sore or have spasms. We will give you prescriptions for pain medication to manage this. It's also normal for the nerve pain in your leg to flare up a bit as the nerve heals from being compressed, but this should improve over the next few weeks."
microdiscectomy,After Surgery,When will my symptoms improve after surgery?,,"Pain is often improved almost immediately after the surgery. Weakness or numbness/tingling can take longer to recover. This is because the nerve roots have to ""wake up"" after being compressed. This often occurs within a few weeks from the surgery but in unusual situations it can take up to a year for full improvement. Sometimes, the nerve is really inflammed from the disc herniation and doing the surgery can aggravate it further. In these situations, new numbness or even pain can occur after surgery. If this happens to you, speak with the surgeon as there are means of alleviating this short lived increase of symptoms."
microdiscectomy,After Surgery,How do I take care of my incision?,,"Keeping the incision clean and dry is the most important thing. You will have a waterproof dressing on it. You can shower, but don't soak in a bath or pool for about six weeks. Let the water run over the incision, but don't scrub it. Afterward, just pat it dry. Your stitches are under the skin and will dissolve on their own. Sometimes we use a special skin glue that will peel off by itself over time, so please don't pick at it."
microdiscectomy,After Surgery,What are my activity restrictions?,,"For the first six weeks, we want you to avoid bending, lifting more than 10-15 pounds, and twisting your back. Walking is great for you! Start with short, frequent walks around your house and gradually increase the distance. You can usually return to office work and driving after a week, as long as you are no longer taking narcotic pain medication. We'll guide you on when you can return to more strenuous activities, usually around three months for heavy work."
microdiscectomy,After Surgery,When can I drive?,When is it safe to get behind the wheel?; Is it okay for my family to drive me home?,You can start driving again once you are completely off of any prescription narcotic pain medications and you feel you can step on the brake quickly and without pain.
microdiscectomy,After Surgery,Will I need physical therapy?,Do I get a referral for PT?; What is the therapy plan after this surgery?; What kind of therapy do I need after surgery?,"Ususally no. Many patients benefit from physical therapy but it is not a requirement. Your preoperative functional status (how laid up you are) impacts this more than the type of surgery.. We typically start physical therapy about 6 weeks after your surgery to help you safely strengthen the muscles in and around your back and regain your mobility if its required. We dont want to cause injury prior to this. During the first six weeks, walking is your main mode of therapy."
microdiscectomy,Follow-Up,When is my first follow-up appointment?,,"We will schedule your first follow-up visit for about two weeks after your surgery. This appointment is mainly to check on your incision and see how you are progressing. Then we see you around 6 weeks after surgery to determine if you are ready to resume normal activities. That is often the last appointment for most patients. Of course, if you have any concerns prior to your first appointm, you can always call us."
microdiscectomy,Follow-Up,When should I call the doctor's office?,,"Please call us if you experience a fever, chills, redness or drainage from your incision, or increasing back or leg pain that isn't helped by rest and medication. You should also call us if you have new swelling or pain in your calf, or a severe headache that is worse when you're sitting up. If you have trouble breathing, call 911 immediately."
microdiscectomy,Foundational,Can you explain what my lumbar microdiscectomy surgery entails?,What is the purpose of this operation?; What are you trying to fix?,"In this procedure, we will make a small incision in your lower back to carefully remove the piece of the disc that has pushed out and is pinching the nerve. The primary aim is to take the pressure off that nerve, which should alleviate the pain or weakness you're feeling down your leg."
microdiscectomy,Pre-Op Meds,Are there any over-the-counter pain relievers I need to avoid before my operation?,What about meds for a headache?; Is it okay to take Motrin?; Do I have to stop taking naproxen?,"For your safety, please avoid taking any NSAID medications for one full week prior to your scheduled surgery. This category includes common drugs like Ibuprofen (Motrin, Advil) and Naproxen (Aleve). However, if you need pain relief, Tylenol (also known as Acetaminophen) is perfectly fine to use."
microdiscectomy,Pre-Op Meds,What is the protocol for my blood-thinning medication?,Do I have to stop my daily aspirin?; What's the plan for my Coumadin or Xarelto?,"Any medication that thins your blood requires special management. You must consult with the doctor who prescribed it (like your heart doctor) to get their approval to pause it. Typically, we ask patients to stop these medications 5 to 7 days before the operation, but we will follow the specific guidance from your prescribing physician."
microdiscectomy,Pre-Op Meds,Do I make any changes to my nerve pain medicine like Gabapentin?,Should I stop taking Lyrica?; What's the plan for my pregabalin?,"Please continue taking your prescribed nerve-calming medications (such as Neurontin, Gabapentin, Lyrica, or Pregabalin) exactly as scheduled. Do not stop them. These medications help manage nerve sensitivity, and it's beneficial to maintain a stable level in your system."
microdiscectomy,Diet & Lifestyle,What are the rules about eating and drinking before my procedure?,When do I have to stop eating?; Can I have a sip of coffee in the morning?,"To ensure your safety during anesthesia, you must have a completely empty stomach. Please do not consume any food or beverages after midnight on the eve of your surgery. A small sip of water to take essential morning pills is the only exception."
microdiscectomy,Day of Surgery,What's the best type of clothing to wear on the day of surgery?,Are there any clothing recommendations?; What should I plan to wear home?,"We recommend choosing clothes that are loose-fitting and easy to manage. Think about items like sweatpants, shorts, and shirts that button or zip up the front. The key is to avoid anything tight or anything you have to pull over your head."
microdiscectomy,Post-Op Activity,What's the plan for walking after the operation?,How soon can I get up and move?; Are there walking goals?,"Walking will be your primary form of therapy. We will have you up and moving on the very day of your surgery. The goal is to take short, regular walks, increasing your time and distance gradually as your comfort allows."
microdiscectomy,Post-Op Activity,Are there specific body movements I'm not allowed to do?,What does 'BLT restrictions' mean?; Is it okay to bend or twist?,"Yes, you must protect your back for the first 4 to 6 weeks by avoiding three specific movements, which we call the ""BLTs"": No Bending forward at the waist, no Lifting anything heavier than a gallon of milk (about 10 lbs), and no Twisting of your back."
microdiscectomy,Post-Op Activity,How long until I'm allowed to drive a car again?,When is it safe to get behind the wheel?; Can someone else drive me?,"You may not operate a vehicle as long as you are taking any narcotic pain relievers. You must feel confident that you can move your foot quickly to the brake without pain or hesitation. For most, this takes about 2 to 3 weeks. Riding as a passenger is fine anytime."
microdiscectomy,Post-Op Activity,How can I use the toilet without bending or twisting?,Is it hard to go to the bathroom after surgery?; How do I wipe myself?; What if my toilet is too low?,"Using the toilet is a normal activity, but you must be mindful of your BLT restrictions. To avoid excessive bending, consider using a raised toilet seat or a safety frame with arms that you can push up on. For personal hygiene, it is critical to avoid twisting your back. We highly recommend using a long-handled grabber or a specific personal hygiene wand to help you clean yourself safely without compromising your recovery."
microdiscectomy,Post-Op Activity,What is the safest way to get out of bed or a chair?,,"To get out of bed, use the ""log roll"" technique: bend your knees, roll onto your side as one single unit (like a log), and then use your arms to push yourself up to a seated position as you swing your legs off the bed. To get out of a chair, scoot to the very edge of the seat, keep your back straight, and use the power of your legs and arms to push straight up. Remember your BLT restrictions: No Bending or Twisting. Using a walker for extra support and stability is a great idea in the first few days."
microdiscectomy,Post-Op Activity,What is the typical timeline for returning to my job?,How much time should I take off work?; When can I go back to my office?,"Your return-to-work date is based on your job's physical demands. For office-based or sedentary work, 2 to 4 weeks is typical. For jobs requiring physical labor, you should plan for a longer recovery of 6 to 8 weeks, possibly more, to ensure your back has healed sufficiently."
microdiscectomy,Incision Care,What are the instructions for showering with the incision?,How do I keep my incision clean?; Is it okay if soap and water run over the wound?,"You can let water from the shower run over your incision starting 48 hours after your procedure. It's important not to scrub the area directly. When you're done, gently pat the site dry with a fresh towel."
microdiscectomy,Incision Care,Is it safe to take a bath or get in a pool?,When can I submerge my incision in water?; Can I use a jacuzzi?,"You must keep the incision out of standing water for 4 weeks. This means no baths, swimming pools, hot tubs, or lakes until the wound is fully healed and you've been cleared by the surgeon at your follow-up appointment."
microdiscectomy,Incision Care,How should I manage the dressing on my wound?,What do I do with the surgical tape?; Should I peel off the glue?,"Your incision is sealed with either steri-strips (special tape) or a surgical glue called Dermabond. You don't need to do anything with it. Leave it in place, and it will start to come off on its own in about 10 to 14 days."
microdiscectomy,Pain & Meds,What should I expect in terms of pain after the procedure?,Is it normal for the leg pain to come and go?; Will my back hurt?,You should expect to feel some soreness at the incision site itself. It's also common for the nerve-related leg pain (sciatica) to fluctuate during the healing process as the nerve recovers. This is a normal part of recovery.
microdiscectomy,Pain & Meds,What's the best strategy for taking my pain pills?,How do I use my narcotics effectively?; How do I wean off the pain medicine?,"For the first few days, it's best to take your pain medication on a regular schedule to prevent the pain from becoming severe. As you start to feel better, you can stretch out the time between doses and begin substituting with Tylenol."
microdiscectomy,Pain & Meds,What can I do to relieve constipation from the medication?,Is it normal to get backed up?; How do I treat constipation?,"It's very common to experience constipation from anesthesia and pain medicine. We suggest you begin taking an over-the-counter stool softener, like Colace, as soon as you start the narcotics. Staying hydrated and walking frequently are also very helpful."
microdiscectomy,Physical Therapy,Is a course of physical therapy required after this surgery?,Will I get a referral for PT?; What's the therapy plan?,"Formal physical therapy is not always necessary. For the initial 6 weeks, walking is the only therapy we recommend. At your 6-week check-up, we will assess your progress and decide if a PT referral would be beneficial for you."
microdiscectomy,Follow-Up,When will my first post-operative check-up be?,How soon do I come back to the clinic?; What is the purpose of the first visit?,Your first appointment back in our office will be scheduled for approximately two weeks after your surgery. The main purpose of this visit is to inspect your incision and ensure your initial recovery is on track. Your next key appointment is usually 6 weeks post-op.
microdiscectomy,Warning Signs,How can I tell if my incision is getting infected?,What does an infected wound look like?; Is some redness okay?,"Please contact us if you see signs of infection, such as spreading redness, increased swelling, warmth to the touch, or any thick, cloudy, or colored discharge. A small amount of pinkish or clear fluid in the first day or so is not unusual."
microdiscectomy,Warning Signs,Which symptoms are considered urgent and require a phone call?,What are the emergency signs?; When should I call the on-call doctor?,"Please call us immediately for any of these ""red flag"" symptoms: a temperature above 101.5°F (38.6°C), any new or progressing weakness in your leg or foot, or any change in your ability to control your bladder or bowels."
microdiscectomy,Warning Signs,What does it mean if I get a bad headache that's worse when I'm upright?,Is a positional headache a problem?; Why does my head pound when I stand up?,"If you experience a severe headache that feels significantly worse when you sit or stand and improves when you lie flat, you need to call our office. This specific type of headache can be a sign of a spinal fluid leak, which we need to know about."
microdiscectomy,Warning Signs,What should I do about new pain or swelling in my lower leg?,Is calf pain a warning sign?; What are the symptoms of a DVT?,"New pain, tenderness, swelling, or redness that appears in your calf muscle could be a sign of a deep vein thrombosis (DVT), or blood clot. This is a serious condition, so please contact our office right away if you notice these symptoms."
microdiscectomy,Foundational,What is a lumbar microdiscectomy?,Why am I having this surgery?; What does the operation do?,"A lumbar microdiscectomy is a minimally invasive surgery performed to remove the portion of a herniated disc in your lower back that is pressing on a nerve. The goal is to relieve the leg pain, numbness, or weakness caused by the nerve compression."
microdiscectomy,Pre-Op Meds,What pain medications should I stop before surgery?,Can I take Advil?; Is Ibuprofen okay?; What about Aleve?; Which pain meds are not allowed?,"You must stop all NSAIDs (Non-Steroidal Anti-Inflammatory Drugs) at least 7 days before your surgery. This includes Ibuprofen (Advil, Motrin), Naproxen (Aleve), Meloxicam, and Diclofenac. Tylenol (Acetaminophen) is generally safe to continue."
microdiscectomy,Pre-Op Meds,What about my blood thinners like Aspirin or Plavix?,Do I need to stop my heart medication?; What about Xarelto or Eliquis?,"It is essential that you discuss stopping any blood thinner (Aspirin, Plavix, Xarelto, Eliquis, Coumadin) with the prescribing doctor (e.g., your cardiologist). We will provide specific instructions based on their recommendations, but our standard protocol requires stopping them 5-7 days before surgery."
microdiscectomy,Pre-Op Meds,Should I continue taking nerve medications like Neurontin or Lyrica?,What about gabapentin?; Do I stop pregabalin?,"These are nerve medications and help to calm down irritated or excited nerves. If you are currently on one of these medications, you should not stop taking it before surgery. Continue to take the medication as prescribed unless told otherwise by your surgeon."
microdiscectomy,Diet & Lifestyle,Do I need to stop eating or drinking before surgery?,Can I have water?; What is NPO?; Can I chew gum?,"Yes. Do not eat or drink anything after midnight the night before your surgery. This is called being ""NPO"". This includes water, coffee, and chewing gum. You may take approved morning medications with a small sip of water."
microdiscectomy,Day of Surgery,What should I wear to the hospital?,What kind of clothes should I bring?; What is best to wear after surgery?,"Please wear loose, comfortable clothing that is easy to put on and take off, such as sweatpants and a zip-up or button-up shirt. Avoid anything that you have to pull tightly over your head."
microdiscectomy,Post-Op Activity,How much should I walk after surgery?,When can I start walking?; How far should I walk?,"Walking is your most important recovery activity. We want you up and walking the same day as your surgery. Start with short, frequent walks inside your house and gradually increase the distance each day as you feel comfortable."
microdiscectomy,Post-Op Activity,What movements should I avoid after surgery?,What are the BLTs?; Can I bend over?; How much can I lift?,"For the first 4-6 weeks, you must strictly avoid the ""BLTs"": Bending at the waist, Lifting more than 10 pounds (about the weight of a gallon of milk), and Twisting your torso."
microdiscectomy,Post-Op Activity,When can I drive?,When can I operate a vehicle?; Is it okay to be a passenger in a car?,"You cannot drive until you are completely off all narcotic pain medication and feel you can react safely in an emergency. For most patients, this is around 2-3 weeks. It is safe to be a passenger in a car for short trips immediately after surgery."
microdiscectomy,Post-Op Activity,When can I return to work?,How long am I off work?; When can I go back to my desk job?,"This depends on your job. If you have a sedentary desk job, you may be able to return in 2-4 weeks. If you have a physically demanding job that requires heavy lifting or manual labor, you may need to be off work for 6-8 weeks or longer."
microdiscectomy,Incision Care,When can I shower after surgery?,Can I get my incision wet?; How long until I can shower?,"You may shower 48 hours after your surgery. Let the water run over the incision, but do not scrub it. Pat the area dry gently with a clean towel."
microdiscectomy,Incision Care,Can I take a bath or go swimming?,Is it okay to submerge the incision?; Can I use a hot tub?,"No. Do not take a bath or submerge the incision in any water (pool, lake, hot tub) for at least 4 weeks, or until your incision is completely healed and you are cleared by your surgeon."
microdiscectomy,Incision Care,What do I do about the dressing or surgical glue?,How do I care for the steri-strips?; When does the glue come off?,Your incision is covered with surgical glue (Dermabond) or steri-strips. Do not peel or pick at these. They will begin to peel off on their own in 10-14 days. You may trim any peeling edges if they are bothersome.
microdiscectomy,Pain & Meds,What kind of pain is normal after surgery?,Will I still have leg pain?; Why does my back hurt at the incision?,"It is normal to have localized pain at the incision site. You may also notice that your original leg pain (sciatica) is gone, but it can sometimes reappear intermittently as the nerve recovers and inflammation subsides. This is normal."
microdiscectomy,Pain & Meds,How should I use my prescribed pain medication?,How often should I take narcotics?; How do I manage my pain?,"The goal is to stay ahead of the pain for the first few days. Take your pain medication as prescribed. As you feel better, you can begin to increase the time between doses and then switch to Tylenol (Acetaminophen) as needed."
microdiscectomy,Pain & Meds,What should I do if I am constipated?,Is constipation normal after surgery?; How can I prevent constipation?,Constipation is a very common side effect of anesthesia and narcotic pain medication. We recommend starting an over-the-counter stool softener (like Colace) when you start taking narcotics. Drinking plenty of water and walking also helps.
microdiscectomy,Physical Therapy,Will I need physical therapy?,Do I need PT?; When does physical therapy start?,"Many patients do not require formal physical therapy. Walking is your main therapy for the first 6 weeks. If you still have weakness or mobility issues at your 6-week follow-up, we will discuss if physical therapy is the right next step for you."
microdiscectomy,Follow-Up,When is my first follow-up appointment?,When do I see the doctor again?; What happens at the first visit?,We will schedule your first follow-up visit for about two weeks after your surgery. This appointment is mainly to check on your incision and see how you are progressing. The next visit is typically around 6 weeks after surgery.
microdiscectomy,Warning Signs,What are the signs of an incision infection?,What if my incision is red?; Is drainage normal?,"Call our office if you notice increasing redness, swelling, warmth, or pus-like (thick, yellow, or green) drainage from your incision site. A small amount of clear or pinkish fluid can be normal in the first day or two."
microdiscectomy,Warning Signs,What symptoms require an urgent call to the doctor?,What are the red flags?; When should I be worried?,"Call our office immediately if you experience a fever over 101.5°F (38.6°C), new or worsening weakness in your legs or feet, or new problems with bowel or bladder control."
microdiscectomy,Warning Signs,What if I get a severe headache?,Why does my head hurt more when I sit up?,"If you develop a severe headache that is noticeably worse when you are sitting or standing up and gets better when you lie down, please call our office. This can be a sign of a spinal headache."
microdiscectomy,Warning Signs,What if I have new pain or swelling in my calf?,Why does my leg hurt?; Could this be a blood clot?,"If you develop new, persistent pain, swelling, or redness in one of your calves (not related to your incision), this could be a sign of a blood clot (DVT). Please call our office right away."
acdf,About the Procedure,What is an Anterior Cervical Discectomy and Fusion (ACDF)?,- Can you explain what an ACDF surgery is? <br>- What does ACDF stand for and what does it mean?; What is this?; What am I having done?,"An ACDF is a type of neck surgery performed to relieve pressure on your spinal cord or nerves. We go in through the front of your neck, which is the ""Anterior"" part. Then, we remove the damaged disc—that's the ""Discectomy."" Finally, we encourage the two vertebrae to grow together into one solid bone, which is the ""Fusion."" This process stabilizes your spine and prevents the painful pressure from coming back."
acdf,About the Procedure,Why do I need to have this surgery?,- What condition does this surgery treat? <br>- Why is an ACDF recommended for me?,"You are having this surgery because a disc or a bone spur in your neck is pressing on your spinal nerves or even the spinal cord itself. This pressure is what causes symptoms like pain in your neck or arms, numbness and tingling in your fingers, weakness, or even problems with coordination and balance. The goal of the surgery is to remove that pressure and give your nerves the space they need."
acdf,The Surgery,What happens during the operation?,- Can you walk me through the surgical process? <br>- What should I expect when I'm in the operating room?,"You will be comfortably asleep under general anesthesia. I will make a small incision in a natural crease on the front of your neck. I'll gently move the throat structures aside to access your spine. Using a microscope, I will remove the damaged disc and any bone spurs that are pinching the nerves. Then, I'll place a small spacer filled with bone graft material into the empty disc space. To hold everything securely while it heals, I'll attach a small titanium plate and screws. The incision is then closed with stitches that dissolve on their own."
acdf,The Surgery,Where does the bone for the fusion come from?,- Will you have to take bone from my hip? <br>- What is the bone graft made of?,"We use a combination of materials to help your bones fuse. This includes using some of your own bone that is collected during the procedure itself, as well as a sterilized bone product from a tissue bank. In the past, it was common to take bone from a patient's hip, but we rarely need to do that anymore, which avoids the pain that used to be associated with it."
acdf,Risks & Complications,What are the risks involved with this surgery?,- Is ACDF surgery dangerous? <br>- What are the potential complications I should know about?,"While ACDF is a very safe and common procedure, all surgeries have risks. The most common side effects are temporary and include a sore throat, hoarseness, and some difficulty swallowing for a few weeks. More serious complications are very rare but can include bleeding, infection, injury to the vocal cords, or the bones not fusing properly, which might require another surgery. We take every precaution to minimize these risks."
acdf,Preparation,How do I need to prepare for my surgery?,- What do I need to do before the operation? <br>- Is there a pre-op checklist I should follow?,"Before surgery, you'll get a medical clearance from your primary doctor. It's very important that you stop taking any anti-inflammatory medications like ibuprofen or Aleve, as well as any blood thinners, for one to two weeks before the procedure. If you smoke, you must stop, as it can prevent your bones from fusing. The night before, don't eat or drink anything after midnight. We'll give you a detailed list of instructions to follow."
acdf,Preparation,Why is it so important for me to stop smoking?,- Does smoking really affect the surgery outcome? <br>- What happens if I smoke before or after my fusion?,"Yes, it is absolutely critical. Nicotine severely restricts your blood vessels, which reduces the blood flow and oxygen that your bones need to heal and fuse together. Smoking cuts the chances of a successful fusion in half. For the best possible outcome, you need to stop smoking at least two weeks before surgery and stay smoke-free for at least three months afterward."
